HCMI-CMDC	['Transitional Cell Papillomas and Carcinomas', 'Ductal and Lobular Neoplasms', 'Gliomas', 'Miscellaneous Bone Tumors', 'Lymphoid Leukemias', 'Complex Epithelial Neoplasms', 'Synovial-like Neoplasms', 'Blood Vessel Tumors', 'Osseous and Chondromatous Neoplasms', 'Complex Mixed and Stromal Neoplasms', 'Nevi and Melanomas', 'Adenomas and Adenocarcinomas', 'Malignant Lymphomas, NOS or Diffuse', 'Myomatous Neoplasms', 'Epithelial Neoplasms, NOS', 'Neuroepitheliomatous Neoplasms', 'Cystic, Mucinous and Serous Neoplasms', 'Acinar Cell Neoplasms', 'Fibromatous Neoplasms', 'Squamous Cell Neoplasms', 'Soft Tissue Tumors and Sarcomas, NOS', 'Mature T- and NK-Cell Lymphomas', 'NCI Cancer Model Development for the Human Cancer Model Initiative']
MMRF-COMMPASS	['Plasma Cell Tumors', 'Multiple Myeloma CoMMpass Study']
CDDP_EAGLE-1	['Adenomas and Adenocarcinomas', 'CDDP Integrative Analysis of Lung Adenocarcinoma (Phase 2)']
MP2PRT-WT	['Neoplasms, NOS', 'Molecular Profiling to Predict Response to Treatment - Wilms Tumor']
TCGA-BRCA	['Fibroepithelial Neoplasms', 'Adnexal and Skin Appendage Neoplasms', 'Adenomas and Adenocarcinomas', 'Cystic, Mucinous and Serous Neoplasms', 'Basal Cell Neoplasms', 'Squamous Cell Neoplasms', 'Epithelial Neoplasms, NOS', 'Complex Epithelial Neoplasms', 'Ductal and Lobular Neoplasms', 'Breast Invasive Carcinoma']
TCGA-UCEC	['Not Reported', 'Cystic, Mucinous and Serous Neoplasms', 'Epithelial Neoplasms, NOS', 'Adenomas and Adenocarcinomas', 'Uterine Corpus Endometrial Carcinoma']
CTSP-DLBCL1	['Mature B-Cell Lymphomas', 'CTSP Diffuse Large B-Cell Lymphoma (DLBCL) CALGB 50303']
MATCH-P	['Transitional Cell Papillomas and Carcinomas', 'Complex Mixed and Stromal Neoplasms', 'Mesothelial Neoplasms', 'Ductal and Lobular Neoplasms', 'Nevi and Melanomas', 'Epithelial Neoplasms, NOS', 'Neoplasms, NOS', 'Cystic, Mucinous and Serous Neoplasms', 'Squamous Cell Neoplasms', 'Adenomas and Adenocarcinomas', 'Genomic Characterization CS-MATCH-0007 Arm P']
MATCH-W	['Adenomas and Adenocarcinomas', 'Ductal and Lobular Neoplasms', 'Epithelial Neoplasms, NOS', 'Neoplasms, NOS', 'Cystic, Mucinous and Serous Neoplasms', 'Squamous Cell Neoplasms', 'Gliomas', 'Transitional Cell Papillomas and Carcinomas', 'Genomic Characterization CS-MATCH-0007 Arm W']
MATCH-Z1D	['Complex Mixed and Stromal Neoplasms', 'Myomatous Neoplasms', 'Ductal and Lobular Neoplasms', 'Neoplasms, NOS', 'Cystic, Mucinous and Serous Neoplasms', 'Squamous Cell Neoplasms', 'Gliomas', 'Adenomas and Adenocarcinomas', 'Genomic Characterization CS-MATCH-0007 Arm Z1D']
MATCH-Z1A	['Adenomas and Adenocarcinomas', 'Mesothelial Neoplasms', 'Epithelial Neoplasms, NOS', 'Neoplasms, NOS', 'Squamous Cell Neoplasms', 'Transitional Cell Papillomas and Carcinomas', 'Genomic Characterization CS-MATCH-0007 Arm Z1A']
MATCH-U	['Mesothelial Neoplasms', 'Fibromatous Neoplasms', 'Epithelial Neoplasms, NOS', 'Neoplasms, NOS', 'Nerve Sheath Tumors', 'Squamous Cell Neoplasms', 'Adenomas and Adenocarcinomas', 'Genomic Characterization CS-MATCH-0007 Arm U']
MATCH-Z1I	['Ductal and Lobular Neoplasms', 'Nevi and Melanomas', 'Epithelial Neoplasms, NOS', 'Neoplasms, NOS', 'Squamous Cell Neoplasms', 'Adenomas and Adenocarcinomas', 'Genomic Characterization CS-MATCH-0007 Arm Z1I']
MATCH-Q	['Epithelial Neoplasms, NOS', 'Neoplasms, NOS', 'Cystic, Mucinous and Serous Neoplasms', 'Squamous Cell Neoplasms', 'Adenomas and Adenocarcinomas', 'Genomic Characterization CS-MATCH-0007 Arm Q']
MATCH-Z1B	['Transitional Cell Papillomas and Carcinomas', 'Squamous Cell Neoplasms', 'Neoplasms, NOS', 'Adenomas and Adenocarcinomas', 'Genomic Characterization CS-MATCH-0007 Arm Z1B']
MATCH-H	['Epithelial Neoplasms, NOS', 'Neoplasms, NOS', 'Gliomas', 'Adenomas and Adenocarcinomas', 'Genomic Characterization CS-MATCH-0007 Arm H']
MATCH-C1	['Nevi and Melanomas', 'Neoplasms, NOS', 'Adenomas and Adenocarcinomas', 'Genomic Characterization CS-MATCH-0007 Arm C1']
OHSU-CNL	['Chronic Myeloproliferative Disorders', 'Philadelphia-Negative Neutrophilic Leukemias (CNL/aCML/MDS/MPNu)']
NCICCR-DLBCL	['Mature B-Cell Lymphomas', 'Genomic Variation in Diffuse Large B Cell Lymphomas']
CMI-ASC	['Soft Tissue Tumors and Sarcomas, NOS', 'Count Me In (CMI): The Angiosarcoma (ASC) Project']
FM-AD	['Miscellaneous Tumors', 'Complex Mixed and Stromal Neoplasms', 'Mesothelial Neoplasms', 'Ductal and Lobular Neoplasms', 'Thymic Epithelial Neoplasms', 'Cystic, Mucinous and Serous Neoplasms', 'Paragangliomas and Glomus Tumors', 'Gliomas', 'Complex Epithelial Neoplasms', 'Nevi and Melanomas', 'Meningiomas', 'Neuroepitheliomatous Neoplasms', 'Not Reported', 'Mucoepidermoid Neoplasms', 'Adenomas and Adenocarcinomas', 'Acinar Cell Neoplasms', 'Adnexal and Skin Appendage Neoplasms', 'Basal Cell Neoplasms', 'Transitional Cell Papillomas and Carcinomas', 'Specialized Gonadal Neoplasms', 'Germ Cell Neoplasms', 'Epithelial Neoplasms, NOS', 'Squamous Cell Neoplasms', 'Foundation Medicine Adult Cancer Clinical Dataset (FM-AD)']
MATCH-Y	['Adenomas and Adenocarcinomas', 'Fibromatous Neoplasms', 'Myomatous Neoplasms', 'Ductal and Lobular Neoplasms', 'Epithelial Neoplasms, NOS', 'Neoplasms, NOS', 'Cystic, Mucinous and Serous Neoplasms', 'Squamous Cell Neoplasms', 'Transitional Cell Papillomas and Carcinomas', 'Genomic Characterization CS-MATCH-0007 Arm Y']
MATCH-B	['Transitional Cell Papillomas and Carcinomas', 'Ductal and Lobular Neoplasms', 'Epithelial Neoplasms, NOS', 'Neoplasms, NOS', 'Nerve Sheath Tumors', 'Adenomas and Adenocarcinomas', 'Genomic Characterization CS-MATCH-0007 Arm B']
MATCH-N	['Complex Mixed and Stromal Neoplasms', 'Myomatous Neoplasms', 'Ductal and Lobular Neoplasms', 'Epithelial Neoplasms, NOS', 'Neoplasms, NOS', 'Cystic, Mucinous and Serous Neoplasms', 'Squamous Cell Neoplasms', 'Gliomas', 'Adenomas and Adenocarcinomas', 'Genomic Characterization CS-MATCH-0007 Arm N']
CPTAC-2	['Ductal and Lobular Neoplasms', 'Cystic, Mucinous and Serous Neoplasms', 'Squamous Cell Neoplasms', 'Not Reported', 'Adenomas and Adenocarcinomas', 'CPTAC-Breast, Colon, Ovary']
MATCH-I	['Soft Tissue Tumors and Sarcomas, NOS', 'Myomatous Neoplasms', 'Nevi and Melanomas', 'Epithelial Neoplasms, NOS', 'Neoplasms, NOS', 'Squamous Cell Neoplasms', 'Osseous and Chondromatous Neoplasms', 'Gliomas', 'Adenomas and Adenocarcinomas', 'Genomic Characterization CS-MATCH-0007 Arm I']
MATCH-S1	['Complex Mixed and Stromal Neoplasms', 'Soft Tissue Tumors and Sarcomas, NOS', 'Myomatous Neoplasms', 'Ductal and Lobular Neoplasms', 'Epithelial Neoplasms, NOS', 'Neoplasms, NOS', 'Nerve Sheath Tumors', 'Squamous Cell Neoplasms', 'Gliomas', 'Adenomas and Adenocarcinomas', 'Genomic Characterization CS-MATCH-0007 Arm S1']
MATCH-R	['Mature B-Cell Lymphomas', 'Ductal and Lobular Neoplasms', 'Nevi and Melanomas', 'Epithelial Neoplasms, NOS', 'Neoplasms, NOS', 'Squamous Cell Neoplasms', 'Mature T- and NK-Cell Lymphomas', 'Osseous and Chondromatous Neoplasms', 'Adenomas and Adenocarcinomas', 'Genomic Characterization CS-MATCH-0007 Arm R']
VAREPOP-APOLLO	['Squamous Cell Neoplasms', 'Epithelial Neoplasms, NOS', 'VA Research Precision Oncology Program']
MATCH-S2	['Nevi and Melanomas', 'Genomic Characterization CS-MATCH-0007 Arm S2']
EXCEPTIONAL_RESPONDERS-ER	['Complex Mixed and Stromal Neoplasms', 'Myomatous Neoplasms', 'Ductal and Lobular Neoplasms', 'Nevi and Melanomas', 'Epithelial Neoplasms, NOS', 'Neoplasms, NOS', 'Squamous Cell Neoplasms', 'Gliomas', 'Adenomas and Adenocarcinomas', 'Exceptional Responders']
ORGANOID-PANCREATIC	['Unknown', 'Adenomas and Adenocarcinomas', 'Pancreas Cancer Organoid Profiling']
TRIO-CRU	['Not Applicable', 'Ukrainian National Research Center for Radiation Medicine Trio Study']
BEATAML1.0-COHORT	['Plasma Cell Tumors', 'Myelodysplastic Syndromes', 'Unknown', 'Chronic Myeloproliferative Disorders', 'Myeloid Leukemias', 'Leukemias, NOS', 'Functional Genomic Landscape of Acute Myeloid Leukemia']
BEATAML1.0-CRENOLANIB	['Myeloid Leukemias', 'Clinical Resistance to Crenolanib in Acute Myeloid Leukemia Due to Diverse Molecular Mechanisms']
CMI-MPC	['Adenomas and Adenocarcinomas', 'Count Me In (CMI): The Metastatic Prostate Cancer (MPC) Project']
CMI-MBC	['Ductal and Lobular Neoplasms', 'Count Me In (CMI): The Metastatic Breast Cancer (MBC) Project']
TARGET-NBL	['Neuroepitheliomatous Neoplasms', 'Not Applicable', 'Neuroblastoma']
TARGET-RT	['Complex Mixed and Stromal Neoplasms', 'Rhabdoid Tumor']
TARGET-WT	['Complex Mixed and Stromal Neoplasms', 'High-Risk Wilms Tumor']
TARGET-CCSK	['Complex Mixed and Stromal Neoplasms', 'Clear Cell Sarcoma of the Kidney']
TCGA-LAML	['Myeloid Leukemias', 'Acute Myeloid Leukemia']
CGCI-HTMCP-LC	['Adenomas and Adenocarcinomas', 'Neoplasms, NOS', 'Squamous Cell Neoplasms', 'Epithelial Neoplasms, NOS', 'Complex Epithelial Neoplasms', 'Paragangliomas and Glomus Tumors', 'HIV+ Tumor Molecular Characterization Project - Lung Cancer']
TCGA-CHOL	['Adenomas and Adenocarcinomas', 'Cholangiocarcinoma']
CGCI-HTMCP-CC	['Squamous Cell Neoplasms', 'Epithelial Neoplasms, NOS', 'Complex Epithelial Neoplasms', 'Adenomas and Adenocarcinomas', 'HIV+ Tumor Molecular Characterization Project - Cervical Cancer']
TARGET-ALL-P3	['Lymphoid Leukemias', 'Leukemias, NOS', 'Not Applicable', 'Myeloid Leukemias', 'Acute Lymphoblastic Leukemia - Phase III']
TARGET-OS	['Osseous and Chondromatous Neoplasms', 'Osteosarcoma']
CGCI-HTMCP-DLBCL	['Mature B-Cell Lymphomas', 'HIV+ Tumor Molecular Characterization Project - Diffuse Large B-Cell Lymphoma']
CGCI-BLGSP	['Mature B-Cell Lymphomas', 'Burkitt Lymphoma Genome Sequencing Project']
TCGA-ACC	['Adenomas and Adenocarcinomas', 'Adrenocortical Carcinoma']
TCGA-DLBC	['Not Reported', 'Mature B-Cell Lymphomas', 'Lymphoid Neoplasm Diffuse Large B-cell Lymphoma']
TCGA-CESC	['Squamous Cell Neoplasms', 'Cystic, Mucinous and Serous Neoplasms', 'Complex Epithelial Neoplasms', 'Adenomas and Adenocarcinomas', 'Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma']
TCGA-ESCA	['Squamous Cell Neoplasms', 'Cystic, Mucinous and Serous Neoplasms', 'Adenomas and Adenocarcinomas', 'Esophageal Carcinoma']
MP2PRT-ALL	['Acute Lymphoblastic Leukemia', 'Lymphoid Leukemias', 'Molecular Profiling to Predict Response to Treatment for Acute Lymphoblastic Leukemia']
TARGET-ALL-P2	['Lymphoid Leukemias', 'Acute Lymphoblastic Leukemia - Phase II']
REBC-THYR	['Epithelial Neoplasms, NOS', 'Adenomas and Adenocarcinomas', 'Comprehensive genomic characterization of radiation-related papillary thyroid cancer in the Ukraine']
TARGET-ALL-P1	['Lymphoid Leukemias', 'Acute Lymphoblastic Leukemia - Phase I']
TCGA-KICH	['Adenomas and Adenocarcinomas', 'Kidney Chromophobe']
CPTAC-3	['Nevi and Melanomas', 'Adenomas and Adenocarcinomas', 'Gliomas', 'Lipomatous Neoplasms', 'Squamous Cell Neoplasms', 'Complex Mixed and Stromal Neoplasms', 'Epithelial Neoplasms, NOS', 'Complex Epithelial Neoplasms', 'Not Applicable', 'Ductal and Lobular Neoplasms', 'Transitional Cell Papillomas and Carcinomas', 'CPTAC-Brain, Head and Neck, Kidney, Lung, Pancreas, Uterus']
TCGA-HNSC	['Squamous Cell Neoplasms', 'Head and Neck Squamous Cell Carcinoma']
TCGA-COAD	['Cystic, Mucinous and Serous Neoplasms', 'Epithelial Neoplasms, NOS', 'Complex Epithelial Neoplasms', 'Adenomas and Adenocarcinomas', 'Colon Adenocarcinoma']
TCGA-BLCA	['Squamous Cell Neoplasms', 'Adenomas and Adenocarcinomas', 'Epithelial Neoplasms, NOS', 'Transitional Cell Papillomas and Carcinomas', 'Bladder Urothelial Carcinoma']
TARGET-AML	['Not Applicable', 'Myeloid Leukemias', 'Acute Myeloid Leukemia']
TCGA-KIRP	['Adenomas and Adenocarcinomas', 'Kidney Renal Papillary Cell Carcinoma']
TCGA-GBM	['Gliomas', 'Not Reported', 'Glioblastoma Multiforme']
TCGA-MESO	['Mesothelial Neoplasms', 'Mesothelioma']
TCGA-SARC	['Synovial-like Neoplasms', 'Soft Tissue Tumors and Sarcomas, NOS', 'Nerve Sheath Tumors', 'Lipomatous Neoplasms', 'Myomatous Neoplasms', 'Fibromatous Neoplasms', 'Sarcoma']
TCGA-PCPG	['Paragangliomas and Glomus Tumors', 'Pheochromocytoma and Paraganglioma']
TCGA-READ	['Cystic, Mucinous and Serous Neoplasms', 'Adenomas and Adenocarcinomas', 'Rectum Adenocarcinoma']
TCGA-LUAD	['Cystic, Mucinous and Serous Neoplasms', 'Acinar Cell Neoplasms', 'Ductal and Lobular Neoplasms', 'Adenomas and Adenocarcinomas', 'Lung Adenocarcinoma']
TCGA-LUSC	['Squamous Cell Neoplasms', 'Adenomas and Adenocarcinomas', 'Lung Squamous Cell Carcinoma']
TCGA-PAAD	['Epithelial Neoplasms, NOS', 'Ductal and Lobular Neoplasms', 'Cystic, Mucinous and Serous Neoplasms', 'Adenomas and Adenocarcinomas', 'Pancreatic Adenocarcinoma']
TCGA-LIHC	['Adenomas and Adenocarcinomas', 'Liver Hepatocellular Carcinoma']
TCGA-KIRC	['Adenomas and Adenocarcinomas', 'Kidney Renal Clear Cell Carcinoma']
TCGA-LGG	['Gliomas', 'Brain Lower Grade Glioma']
TCGA-SKCM	['Nevi and Melanomas', 'Skin Cutaneous Melanoma']
TCGA-PRAD	['Cystic, Mucinous and Serous Neoplasms', 'Acinar Cell Neoplasms', 'Ductal and Lobular Neoplasms', 'Adenomas and Adenocarcinomas', 'Prostate Adenocarcinoma']
TCGA-STAD	['Cystic, Mucinous and Serous Neoplasms', 'Adenomas and Adenocarcinomas', 'Stomach Adenocarcinoma']
TCGA-OV	['Cystic, Mucinous and Serous Neoplasms', 'Not Reported', 'Ovarian Serous Cystadenocarcinoma']
TCGA-THYM	['Thymic Epithelial Neoplasms', 'Thymoma']
TCGA-UCS	['Complex Mixed and Stromal Neoplasms', 'Basal Cell Neoplasms', 'Uterine Carcinosarcoma']
TCGA-UVM	['Paragangliomas and Glomus Tumors', 'Nevi and Melanomas', 'Uveal Melanoma']
TCGA-TGCT	['Germ Cell Neoplasms', 'Testicular Germ Cell Tumors']
WCDT-MCRPC	['Adenomas and Adenocarcinomas', 'Genomic Characterization of Metastatic Castration Resistant Prostate Cancer']
TCGA-THCA	['Squamous Cell Neoplasms', 'Epithelial Neoplasms, NOS', 'Adenomas and Adenocarcinomas', 'Thyroid Carcinoma']
APOLLO-LUAD	['Adenomas and Adenocarcinomas', 'APOLLO1: Proteogenomic characterization of lung adenocarcinoma']
